NU_ANO_AVALIACAO;CO_UF;SG_UF;TP_SERIE;ID_TIPO_REDE;PC_ALUNO_ALFABETIZADO;VL_MEDIA_LP;PC_ALUNO_NIVEL_0_LP;PC_ALUNO_NIVEL_1_LP;PC_ALUNO_NIVEL_2_LP;PC_ALUNO_NIVEL_3_LP;PC_ALUNO_NIVEL_4_LP;PC_ALUNO_NIVEL_5_LP;PC_ALUNO_NIVEL_6_LP;PC_ALUNO_NIVEL_7_LP;PC_ALUNO_NIVEL_8_LP
2025;11;RO;2;2;77.66;763.9429;1.04;1.63;4.97;7.54;13.13;30.33;26.43;11.12;3.81
2025;11;RO;2;5;75.30;761.7828;1.73;2.49;5.07;7.93;12.37;29.96;25.65;11.10;3.70
2025;11;RO;2;3;75.16;761.6562;1.77;2.54;5.08;7.96;12.32;29.94;25.60;11.10;3.69
2025;12;AC;2;5;67.99;752.7504;3.08;4.18;8.73;4.37;19.49;27.27;20.94;9.39;2.56
2025;12;AC;2;2;71.12;756.9630;2.54;3.77;7.75;4.19;17.84;26.70;23.21;10.55;3.45
2025;12;AC;2;3;65.68;749.6527;3.48;4.47;9.46;4.50;20.71;27.68;19.27;8.53;1.90
2025;13;AM;2;3;55.15;740.1226;3.02;4.53;9.51;17.03;16.80;29.40;16.08;3.09;0.54
2025;13;AM;2;5;57.11;741.9726;2.95;4.40;9.12;16.19;16.01;29.61;17.42;3.58;0.72
2025;13;AM;2;2;64.32;748.7423;2.68;3.93;7.72;13.10;13.09;30.42;22.31;5.40;1.35
2025;14;RR;2;3;57.32;745.4692;1.99;3.18;6.94;16.41;17.29;30.17;21.19;2.37;0.46
2025;14;RR;2;2;39.24;723.4964;5.77;7.58;12.19;23.41;18.51;24.82;7.48;0.24;0.00
2025;14;RR;2;5;56.61;744.6037;2.14;3.36;7.14;16.69;17.34;29.96;20.65;2.28;0.44
2025;15;PA;2;2;65.92;749.9096;2.44;3.45;7.64;12.71;12.48;31.62;23.19;5.25;1.21
2025;15;PA;2;3;57.53;741.9771;3.55;5.07;9.52;15.07;14.81;28.20;18.41;4.47;0.91
2025;15;PA;2;5;58.05;742.4728;3.48;4.97;9.40;14.92;14.66;28.41;18.71;4.51;0.93
2025;16;AP;2;2;47.70;732.3958;5.95;7.82;14.43;14.50;13.89;22.56;15.10;5.01;0.74
2025;16;AP;2;5;59.71;744.8462;3.85;5.49;10.47;12.05;13.33;25.53;20.21;7.47;1.58
2025;16;AP;2;3;63.59;748.8781;3.17;4.74;9.19;11.26;13.15;26.50;21.87;8.27;1.86
2025;17;TO;2;3;61.00;743.6300;3.27;5.25;10.66;9.26;17.84;29.88;18.21;4.58;1.05
2025;17;TO;2;5;61.00;743.6300;3.27;5.25;10.66;9.26;17.84;29.88;18.21;4.58;1.05
2025;21;MA;2;5;68.82;760.8800;2.69;3.48;6.40;10.50;11.45;19.17;25.77;15.16;5.38
2025;21;MA;2;3;68.81;760.8600;2.69;3.48;6.40;10.50;11.45;19.17;25.76;15.17;5.38
2025;21;MA;2;2;75.34;769.1900;1.53;1.53;4.85;7.87;11.55;20.37;32.29;12.82;7.19
2025;22;PI;2;2;83.15;784.7622;0.00;0.00;2.37;5.80;9.96;15.55;27.99;27.64;10.70
2025;22;PI;2;3;76.87;772.2365;2.08;2.77;4.77;7.28;9.03;17.01;27.35;19.92;9.80
2025;22;PI;2;5;76.89;772.2686;2.08;2.76;4.77;7.27;9.03;17.00;27.35;19.94;9.81
2025;23;CE;2;5;83.87;792.7887;2.00;2.11;3.51;4.14;6.36;11.03;18.89;23.48;28.48
2025;23;CE;2;3;83.90;792.8154;2.00;2.10;3.50;4.14;6.37;11.04;18.90;23.48;28.48
2025;23;CE;2;2;78.30;786.6333;2.82;4.50;5.49;5.57;4.59;7.71;17.16;23.62;28.54
2025;24;RN;2;5;48.47;731.9985;7.00;7.94;11.82;12.94;17.84;23.19;13.91;4.34;1.01
