NU_ANO_AVALIACAO;CO_UF;SG_UF;CO_BLOCO;NU_POSICAO;CO_ITEM;TP_SERIE;TP_DISCIPLINA;NU_DESCRITOR_HABILIDADE;DS_GABARITO;TP_RESPOSTA_ITEM;TP_MODELO_TRI;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;NU_PARAM_B1;NU_PARAM_B2;NU_PARAM_B3;NU_PARAM_B4;IN_ITEM_COMUM
2025;11;RO;11;9;42;2;1;D10;;1;3;0.048990000000000;;;734.104340000000000;772.012950000000000;;;0
2025;11;RO;5;2;128;2;1;D08;B;3;2;0.019370000000000;817.093410000000000;0.311200000000000;;;;;0
2025;11;RO;11;7;40;2;1;D10;;1;3;0.034500000000000;;;787.053150000000000;839.910100000000000;863.170870000000000;;0
2025;11;RO;1;3;121;2;1;D03;A;3;2;0.036280000000000;640.966160000000000;0.201360000000000;;;;;0
2025;11;RO;1;8;117442;2;1;D03;B;3;2;0.040230000000000;679.382170000000000;0.325150000000000;;;;;1
2025;11;RO;6;2;99;2;1;D07;B;3;2;0.038970000000000;744.528060000000000;0.270400000000000;;;;;0
2025;11;RO;9;4;109;2;1;D06;A;3;2;0.035670000000000;741.875190000000000;0.194810000000000;;;;;0
2025;11;RO;11;6;39;2;1;D10;;1;3;0.059590000000000;;;736.873360000000000;804.258610000000000;;;0
2025;11;RO;13;1;35;2;1;D09;;2;3;0.033420000000000;;;662.578950000000000;670.324980000000000;681.321010000000000;715.555810000000000;0
2025;11;RO;10;4;108;2;1;D06;B;3;2;0.047570000000000;744.005330000000000;0.270480000000000;;;;;0
2025;11;RO;13;7;40;2;1;D10;;1;3;0.034500000000000;;;787.053150000000000;839.910100000000000;863.170870000000000;;0
2025;11;RO;8;3;105;2;1;D06;B;3;2;0.048100000000000;742.440520000000000;0.216850000000000;;;;;0
2025;11;RO;2;8;117434;2;1;D03;B;3;2;0.055460000000000;708.748630000000000;0.378710000000000;;;;;1
2025;11;RO;3;5;117496;2;1;D01;C;3;2;0.033710000000000;651.362080000000000;0.086780000000000;;;;;1
2025;11;RO;12;8;41;2;1;D10;;1;3;0.084530000000000;;;744.698680000000000;769.191570000000000;792.884990000000000;;0
2025;11;RO;3;4;117404;2;1;D02;A;3;2;0.050980000000000;664.132130000000000;0.316640000000000;;;;;1
2025;11;RO;4;4;124;2;1;D04;A;3;2;0.036300000000000;798.357110000000000;0.220380000000000;;;;;0
2025;11;RO;12;3;36;2;1;D10;;1;3;0.082600000000000;;;737.823360000000000;776.780290000000000;;;0
2025;11;RO;12;6;39;2;1;D10;;1;3;0.059590000000000;;;736.873360000000000;804.258610000000000;;;0
2025;11;RO;9;2;114;2;1;D04;B;3;2;0.018310000000000;706.685410000000000;0.171730000000000;;;;;0
2025;11;RO;7;2;111;2;1;D08;B;3;2;0.022600000000000;778.606450000000000;0.263470000000000;;;;;0
2025;11;RO;13;4;37;2;1;D10;;1;3;0.085700000000000;;;733.364140000000000;767.051220000000000;800.069580000000000;;0
2025;11;RO;12;2;46;2;1;D09;;2;3;0.043030000000000;;;677.567870000000000;689.725270000000000;707.147850000000000;748.452490000000000;0
2025;11;RO;7;3;113;2;1;D04;B;3;2;0.048940000000000;775.179660000000000;0.243500000000000;;;;;0
2025;11;RO;2;2;117411;2;1;D01;B;3;2;0.025230000000000;623.313180000000000;0.106540000000000;;;;;1
2025;11;RO;2;7;117353;2;1;D01;C;3;2;0.030820000000000;698.415500000000000;0.162560000000000;;;;;1
2025;11;RO;9;3;107;2;1;D07;D;3;2;0.045320000000000;768.101090000000000;0.187530000000000;;;;;0
2025;11;RO;1;7;117472;2;1;D02;D;3;2;0.046610000000000;654.806690000000000;0.076510000000000;;;;;1
2025;11;RO;2;3;117537;2;1;D03;C;3;2;0.071710000000000;698.435290000000000;0.264330000000000;;;;;1
2025;11;RO;10;2;101;2;1;D07;A;3;2;0.042520000000000;828.305930000000000;0.259680000000000;;;;;0
2025;11;RO;3;6;117512;2;1;D06;D;3;2;0.020010000000000;814.223440000000000;0.111010000000000;;;;;1
2025;11;RO;12;7;40;2;1;D10;;1;3;0.034500000000000;;;787.053150000000000;839.910100000000000;863.170870000000000;;0
2025;11;RO;9;1;102;2;1;D05;A;3;2;0.031200000000000;776.170170000000000;0.195350000000000;;;;;0
2025;11;RO;6;1;120;2;1;D08;A;3;2;0.016850000000000;775.345130000000000;0.176820000000000;;;;;0
2025;11;RO;2;5;117350;2;1;D02;A;3;2;0.035970000000000;631.354300000000000;0.106530000000000;;;;;1
2025;11;RO;13;2;45;2;1;D09;;2;3;0.040680000000000;;;681.153990000000000;690.906640000000000;705.127230000000000;749.251480000000000;0
2025;11;RO;4;3;96;2;1;D06;D;3;2;0.051620000000000;765.623660000000000;0.187140000000000;;;;;0
2025;11;RO;13;6;39;2;1;D10;;1;3;0.059590000000000;;;736.873360000000000;804.258610000000000;;;0
2025;11;RO;1;6;123;2;1;D01;B;3;2;0.013500000000000;842.949950000000000;0.217330000000000;;;;;0
2025;11;RO;10;1;110;2;1;D08;B;3;2;0.036200000000000;729.253300000000000;0.209380000000000;;;;;0
2025;11;RO;12;1;44;2;1;D09;;2;3;0.032720000000000;;;661.252940000000000;669.847170000000000;680.504960000000000;729.877590000000000;0
2025;11;RO;4;2;97;2;1;D05;A;3;2;0.020940000000000;774.086870000000000;0.181340000000000;;;;;0
2025;11;RO;11;1;43;2;1;D09;;2;3;0.030640000000000;;;656.731700000000000;661.384550000000000;668.228090000000000;696.880150000000000;0
2025;11;RO;11;8;41;2;1;D10;;1;3;0.084530000000000;;;744.698680000000000;769.191570000000000;792.884990000000000;;0
2025;11;RO;13;9;42;2;1;D10;;1;3;0.048990000000000;;;734.104340000000000;772.012950000000000;;;0
2025;11;RO;12;5;38;2;1;D10;;1;3;0.045380000000000;;;710.033510000000000;756.552970000000000;;;0
2025;11;RO;13;5;38;2;1;D10;;1;3;0.045380000000000;;;710.033510000000000;756.552970000000000;;;0
2025;11;RO;5;3;119;2;1;D05;D;3;2;0.017840000000000;787.609520000000000;0.137020000000000;;;;;0
2025;11;RO;8;4;112;2;1;D08;A;3;2;0.040800000000000;791.983110000000000;0.204910000000000;;;;;0
2025;11;RO;6;3;98;2;1;D04;C;3;2;0.044100000000000;758.345550000000000;0.173590000000000;;;;;0
2025;11;RO;12;9;42;2;1;D10;;1;3;0.048990000000000;;;734.104340000000000;772.012950000000000;;;0
2025;11;RO;12;4;37;2;1;D10;;1;3;0.085700000000000;;;733.364140000000000;767.051220000000000;800.069580000000000;;0
2025;11;RO;3;7;122;2;1;D03;B;3;2;0.034300000000000;653.282620000000000;0.199880000000000;;;;;0
2025;11;RO;5;1;125;2;1;D07;A;3;2;0.034190000000000;738.270520000000000;0.238450000000000;;;;;0
2025;11;RO;5;4;126;2;1;D06;A;3;2;0.039400000000000;723.232790000000000;0.226690000000000;;;;;0
